DATE                      R50                 R100                R200
2016-12-09  6.813485622406E-01  6.284760832787E-01  6.746987700462E-01
2016-12-12  6.601414084435E-01  6.181212067604E-01  6.628537178040E-01
2016-12-13  6.617727279663E-01  6.236798167229E-01  6.590499281883E-01
2016-12-14  6.334964632988E-01  6.047804355621E-01  6.422569155693E-01
2016-12-15  6.425855755806E-01  6.114507913589E-01  6.440982818604E-01
2016-12-16  6.482084393501E-01  6.096612811089E-01  6.475507616997E-01
2016-12-19  6.476655602455E-01  6.076581478119E-01  6.408114433289E-01
2016-12-20  6.568946838379E-01  6.126525998116E-01  6.491646766663E-01
2016-12-21  6.494845151901E-01  6.071032285690E-01  6.460071802139E-01
2016-12-22  6.220173239708E-01  5.890182852745E-01  6.222486495972E-01
2016-12-23  6.630552411079E-01  6.069844961166E-01  6.409495472908E-01
2016-12-27  6.666666865349E-01  6.112957000732E-01  6.407824754715E-01
2016-12-28  6.114718317986E-01  5.854063034058E-01  6.230769157410E-01
2016-12-29  6.203353404999E-01  5.922651886940E-01  6.270685791969E-01
2016-12-30  6.104808449745E-01  5.801104903221E-01  6.261075139046E-01
2017-01-03  6.420086622238E-01  6.028681993484E-01  6.415094137192E-01
2017-01-04  7.010253667831E-01  6.345093846321E-01  6.660777330399E-01
2017-01-05  6.914778947830E-01  6.251378059387E-01  6.609770655632E-01
2017-01-06  6.862533688545E-01  6.345093846321E-01  6.582353115082E-01
2017-01-09  6.614555120468E-01  6.236914396286E-01  6.519953012466E-01
2017-01-10  7.122845053673E-01  6.578512191772E-01  6.649060845375E-01
2017-01-11  6.826508641243E-01  6.453744769096E-01  6.535755991936E-01
2017-01-12  6.341595053673E-01  6.285085082054E-01  6.406799554825E-01
2017-01-13  6.806677579880E-01  6.571271419525E-01  6.617819666862E-01
2017-01-17  5.928917527199E-01  6.246560215950E-01  6.446135640144E-01
2017-01-18  5.818083882332E-01  6.158503293991E-01  6.409356594086E-01
2017-01-19  5.182992219925E-01  5.877820849419E-01  6.280701756477E-01
2017-01-20  5.438407659531E-01  6.155115365982E-01  6.448597908020E-01
2017-01-23  5.002689361572E-01  5.918591618538E-01  6.279205679893E-01
2017-01-24  5.476062297821E-01  6.133113503456E-01  6.408163309097E-01
2017-01-25  5.987089872360E-01  6.413641571999E-01  6.567599177361E-01
2017-01-26  5.524475574493E-01  6.089109182358E-01  6.338766217232E-01
2017-01-27  5.704300999641E-01  6.325632333755E-01  6.433973312378E-01
2017-01-30  4.779569804668E-01  5.946094393730E-01  6.238372325897E-01
2017-01-31  5.026881694794E-01  6.078107953072E-01  6.327356696129E-01
2017-02-01  4.962365627289E-01  6.069268584251E-01  6.402544975281E-01
2017-02-02  4.924731254578E-01  6.113249063492E-01  6.406701207161E-01
2017-02-03  5.381720662117E-01  6.289169788361E-01  6.470248699188E-01
2017-02-06  5.016129016876E-01  6.195712089539E-01  6.370455622673E-01
2017-02-07  4.892473220825E-01  5.992303490639E-01  6.326413154602E-01
2017-02-08  4.699248075485E-01  5.925315618515E-01  6.267281174660E-01
2017-02-09  5.359827876091E-01  6.289791464806E-01  6.493955254555E-01
2017-02-10  5.778732299805E-01  6.582556366920E-01  6.685845851898E-01
2017-02-13  5.853920578957E-01  6.575342416763E-01  6.687751412392E-01
2017-02-14  5.907626152039E-01  6.659364700317E-01  6.705002784729E-01
2017-02-15  6.229860186577E-01  6.745076775551E-01  6.791259050369E-01
2017-02-16  6.117078661919E-01  6.670311689377E-01  6.678161025047E-01
2017-02-17  6.285560727119E-01  6.872608065605E-01  6.804597973824E-01
2017-02-21  6.201716661453E-01  6.819671988487E-01  6.789201498032E-01
2017-02-22  6.091153025627E-01  6.724891066551E-01  6.783457994461E-01
2017-02-23  5.678284168243E-01  6.483097076416E-01  6.660929322243E-01
2017-02-24  5.790884494781E-01  6.494002342224E-01  6.706827282906E-01
2017-02-27  6.007502675056E-01  6.739367246628E-01  6.859598755836E-01
2017-02-28  5.334761738777E-01  6.243184208870E-01  6.548368334770E-01
2017-03-01  6.035313010216E-01  6.606754064560E-01  6.685746908188E-01
2017-03-02  5.484216213226E-01  6.407185792923E-01  6.584668159485E-01
2017-03-03  5.452113151550E-01  6.292868852615E-01  6.525714397430E-01
2017-03-06  5.026738047600E-01  6.017410159111E-01  6.436322331429E-01
2017-03-07  4.716577529907E-01  5.723612904549E-01  6.301369667053E-01
2017-03-08  4.679144322872E-01  5.663765072823E-01  6.244292259216E-01
2017-03-09  4.569748938084E-01  5.584557056427E-01  6.231470704079E-01
2017-03-10  4.730090796947E-01  5.698749423027E-01  6.309794783592E-01
2017-03-13  4.831640720367E-01  5.780315399170E-01  6.363118886948E-01
2017-03-14  4.743589758873E-01  5.499457120895E-01  6.192373633385E-01
2017-03-15  5.024025440216E-01  5.905640125275E-01  6.442800164223E-01
2017-03-16  5.339028239250E-01  6.102980971336E-01  6.484641432762E-01
2017-03-17  5.627335906029E-01  6.191766262054E-01  6.613636612892E-01
2017-03-20  5.339028239250E-01  6.040086746216E-01  6.475595831871E-01
2017-03-21  4.153763949871E-01  5.046020746231E-01  6.066969633102E-01
2017-03-22  3.994666635990E-01  4.840454161167E-01  5.989789962769E-01
